
	Prefeitura Municipal de Perobal					
SERINGA ESTERIL DESCARTAVEL - 3ML C/AG 13X4,5		2046846	28/02/2027	90		
SERINGA ESTERIL DESCARTAVEL - 3ML C/AG 13X4,5	BECTON DICKNSON INDUSTRIAS CIRURGICAS LTDA	2166822	30/06/2027	800		
SERINGA ESTERIL DESCARTAVEL - 3ML C/AG 20X5,5	BECTON DICKNSON INDUSTRIAS CIRURGICAS LTDA	4234847	30/08/2029	1600		
SERINGA ESTERIL DESCARTAVEL - 3ML C/AG 20X5,5	BECTON DICKNSON INDUSTRIAS CIRURGICAS LTDA	4262744	30/09/2029	1600		
SERINGA ESTERIL DESCARTAVEL 3 ML C/AG 25X6	BECTON DICKNSON INDUSTRIAS CIRURGICAS LTDA	2284525	30/09/2027	730		
VACINA BCG INTRADERMICA - 20 DOSES	SERUM INSTITUTE OF INDIA LTD.	0373MA040	31/10/2025	4		
VACINA BCG INTRADERMICA - 20 DOSES	SERUM INSTITUTE OF INDIA LTD.	0373MA055	31/12/2025			
VACINA CONTRA FEBRE AMARELA - 10 DOSES	FUNDAÇÃO OSWALDO CRUZ	24G0671	30/09/2027	5		
VACINA CONTRA FEBRE AMARELA - 10 DOSES	FUNDAÇÃO OSWALDO CRUZ	24G0672	30/09/2027	10		
DILUENTE P/ VACINA CONTRA FEBRE AMARELA - 10 DOSES	FUNDAÇÃO OSWALDO CRUZ	24I0965	31/10/2027	20		
VACINA CONTRA FEBRE AMARELA - 05 DOSES	FUNDAÇÃO OSWALDO CRUZ					
VACINA CONTRA HEPATITE "A" (ROTINA PEDRIATRICA) - 01 DOSE	INSTITUTO BUTANTAN	2400323/00	25/09/2026			
VACINA CONTRA HEPATITE "A" (ROTINA PEDRIATRICA) - 01 DOSE	SINOVAC BIOTECH CO. LTD	202206041	20/12/2025	18		
VACINA CONTRA HEPATITE "A" (ROTINA PEDRIATRICA) - 01 DOSE	SINOVAC BIOTECH CO. LTD	202206041	20/12/2025	20		
VACINA CONTRA HEPATITE "B" - 10 DOSES	LG CHEMICAL INVESTIMENT LTD	WVX23515	07/11/2026	9		
VACINA CONTRA HEPATITE "B" - 10 DOSES	LG CHEMICAL INVESTIMENT LTD	WVX23518	05/12/2026	10		
VACINA CONTRA INFLUENZA (GRIPE) - 10 DOSES	INSTITUTO BUTANTAN	2501369/00	31/03/2026	6		
VACINA CONTRA INFLUENZA (GRIPE) - 10 DOSES	INSTITUTO BUTANTAN	2502914/00	28/04/2026	20		
VACINA CONTRA PNEUMOCOCICA 23 VALENTE - 01 DOSE	MERCK SHARP & DOHMO CO., INC.,	Y011615	26/02/2026	4		
VACINA CONTRA POLIO INATIVADA - 10 DOSES	FUNDAÇÃO OSWALDO CRUZ	X3E261V	31/05/2026	5		
VACINA CONTRA RAIVA EM CULTURA CELULAR/VERO - 01 DOSE	SANOFI PASTEUR	X1A561V	28/02/2026	1		
VACINA CONTRA RAIVA EM CULTURA CELULAR/VERO - 01 DOSE	SANOFI PASTEUR	X1D062V	28/02/2026	10		
VACINA CONTRA SARS-COV2 - PEDIATRICA 10 DOSES - MENOR DE 5 ANOS	PFIZER MANUFACTURING BELGIUM NV - BELGICA					
VACINA CONTRA SARS-COV2 - PEDIATRICA - 06 DOSES	BIONTECH MANUFACTURING GMBH	LP4330	13/10/0205	1		
VACINA CONTRA SARS-COV2 - PEDIATRICA - 06 DOSES	BIONTECH MANUFACTURING GMBH	LP4330	08/12/2025	1		
VACINA CONTRA SERS-COV2 ADULTO E ADOLESCENTE A PARTIR DE 12 ANOS - 30MCG/DOSE - 06 DOSE	BIONTECH MANUFACTURING GMBH	LN8431	18/09/2025			
VACINA CONTRA SERS-COV2 ADULTO E ADOLESCENTE A PARTIR DE 12 ANOS - 30MCG/DOSE - 06 DOSE	BIONTECH MANUFACTURING GMBH	LN8431	13/10/2025	5		
VACINA CONTRA SERS-COV2 ADULTO E ADOLESCENTE A PARTIR DE 12 ANOS - 30MCG/DOSE - 06 DOSE	BIONTECH MANUFACTURING GMBH	LN8431	22/12/2025	10		
VACINA CONTRA SERS-COV2 ADULTO E ADOLESCENTE A PARTIR DE 12 ANOS - 30MCG/DOSE - 06 DOSE	BIONTECH MANUFACTURING GMBH	LN8431	08/12/2025	17		
VACINA CONTRA SARS-COV2 - PEDIATRICA 03 DOSES  - MENOR DE 5 ANOS	BIONTECH MANUFACTURING GMBH	LP4329	22/12/2025	6		
VACINA CONTRA SARS-COV2 - PEDIATRICA 03 DOSES  - MENOR DE 5 ANOS	BIONTECH MANUFACTURING GMBH	LP4329	8/12/2025	2		
VACINA COVID-19 RECOMBINANTE SERUM/ZALIKA - 05 DOSES	SERUM INSTITUTE OF INDIA LTD.	6224MF002	31/8/2025			
VACINA CONTRA VARICELA - 01 DOSE	GC BIOPHARMA CORP.	Z50124012	25/08/2026	43		
VACINA DENGUE 1, 2, 3 E 4 (ATENUADA) - MONODOSE	IDT BIOLOGIKA GMBH	560570	27/12/2025	26		
VACINA DENGUE 1, 2, 3 E 4 (ATENUADA) - MONODOSE	IDT BIOLOGIKA GMBH	566049	07/07/2026	30		
VACINA DENGUE 1, 2, 3 E 4 (ATENUADA) - MONODOSE	IDT BIOLOGIKA GMBH	566047	07/07/2026	20		
VACINA DENGUE 1, 2, 3 E 4 (ATENUADA) - MONODOSE	IDT BIOLOGIKA GMBH	566864	02/08/2026	5		
VACINA DUPLA ADULTO - 10 DOSES	SERUM INSTITUTE OF INDIA LTD.	2333L037B	30/09/2026	5		
VACINA DUPLA ADULTO - 10 DOSES	SERUM INSTITUTE OF INDIA LTD.	2333X042B	31/10/2026	5		
VACINA DUPLA ADULTO - 10 DOSES	SERUM INSTITUTE OF INDIA LTD.	2334X004A	31/12/2026	12		
VACINA MENINGOCOCICA CONJUGADA ACWY - 01 DOSE FRASCO	GLAXOSMITHKLINE VACCINES S.R.L	241VML003NB	31/12/2025	78		
VACINA MENINGOCOCICA CONJUGADA GRUPO C - 01 DOSE	GLAXOSMITHKLINE VACCINES S.R.L	AMCB99GZ	31/03/2027	55		
VACINA ORAL DE ROTAVIRUS HUMANO UNIDOSE - 01 DOSE	GLAXOSMITHKLINE BIOLOGICALS S.A. BELGICA	241VRT001NA	31/12/2025	30		
VACINA ORAL DE ROTAVIRUS HUMANO UNIDOSE - 01 DOSE	GLAXOSMITHKLINE BIOLOGICALS S.A. BELGICA	242VRT008NB	31/01/2026	20		
VACINA PAPILOMAVIRUS HUMANO 6,11,16,18 (RECOMBINANTE) - 0,5 ML - 01 DOSE	INSTITUTO BUTANTAN	2401315/00	12/07/2026	70		
VACINA PENTAVALENTE - 01 DOSE	PANACEA BIOTEC LTD	E5V013126	30/6/2026	50		
VACINA PNEUMOCOCICA CONJUGADA 10 VALENTE - 04 DOSES	GLAXOSMITHKLINE BEECHAM	231VPO004NB	31/12/2025	3		
VACINA PNEUMOCOCICA CONJUGADA 10 VALENTE - 04 DOSES	GLAXOSMITHKLINE BIOLOGICALS S.A. BELGICA	232VPO005NA	31/01/2026	28		
VACINA PNEUMOCOCICA CONJUGADA 13 VALENTE - 01 DOSE	LABORATORIOS PFIZER LTDA					
VACINA TETRA VIRAL - 01 DOSE	GLAXOSMITHKLINE VACCINES S.R.L	245VVV001NA	31/10/2025	121		
VACINA TRIPLICE (DTP) - 10 DOSES	SERUM INSTITUTE OF INDIA LTD.	2823Q018A	30/11/2025	9		
VACINA TRIPLICE (DTP) - 10 DOSES	SERUM INSTITUTE OF INDIA LTD.	2823Q019B	30/11/2025	10		
VACINA TRIPLICE ACELULAR (DTPA) -  01 DOSE/ADULTO	INSTITUTO BUTANTAN	2302911/00	31/3/2027	43		
VACINA TRIPLICE VIRAL  - 10 DOSES	SERUM INSTITUTE OF INDIA LTD.	0164W021	31/10/2026	20		
VACINA TRIPLICE VIRAL  - 10 DOSES	SERUM INSTITUTE OF INDIA LTD.	0164W012	30/09/2026	20		
VACINA DUPLA VIRAL - 10 DOSES	FUNDAÇÃO OSWALDO CRUZ					
IMUNOGLOBULINA HUMNA ANTI-RABICA - 300 UI/2ML	KAMADA LTD	RF5290924	11/03/2027	1		
SORO ANTITETANICO - 1 AMPOLA	INSTITUTO BUTANTAN	230017	31/01/2026	1		
						
