VACINA	LABORATORIO	LOTE	VALIDADE	OUTUBRO							
VACINA PENTAVALENTE - 01 DOSE	PANACEA BIOTEC LTD	E5V013126	30/6/2026	50	50		26			24	24
VACINA PNEUMOCOCICA CONJUGADA 10 VALENTE - 04 DOSES	GLAXOSMITHKLINE BEECHAM	231VPO004NB	31/12/2025	3	12		14			0	
VACINA PNEUMOCOCICA CONJUGADA 10 VALENTE - 04 DOSES	GLAXOSMITHKLINE BIOLOGICALS S.A. BELGICA	232VPO005NA	31/01/2026	28	112		16			24	96
VACINA PNEUMOCOCICA CONJUGADA 13 VALENTE - 01 DOSE	LABORATORIOS PFIZER LTDA									0	
VACINA TETRA VIRAL - 01 DOSE	GLAXOSMITHKLINE VACCINES S.R.L	245VVV001NA	31/10/2025	121	121		40				
VACINA TRIPLICE (DTP) - 10 DOSES	SERUM INSTITUTE OF INDIA LTD.	2823Q018A	30/11/2025	9	90		24			6	60
VACINA TRIPLICE (DTP) - 10 DOSES	SERUM INSTITUTE OF INDIA LTD.	2823Q019B	30/11/2025	10	100		6			10	100
VACINA TRIPLICE ACELULAR (DTPA) -  01 DOSE/ADULTO	INSTITUTO BUTANTAN	2302911/00	31/3/2027	43	43		10			35	35
VACINA TRIPLICE VIRAL  - 10 DOSES	SERUM INSTITUTE OF INDIA LTD.	0164W021	31/10/2026	20	200		18			11	110
VACINA TRIPLICE VIRAL  - 10 DOSES	SERUM INSTITUTE OF INDIA LTD.	0164W012	30/09/2026	20	200		2			17	170
VACINA DUPLA VIRAL - 10 DOSES	FUNDAÇÃO OSWALDO CRUZ									0	
IMUNOGLOBULINA HUMNA ANTI-RABICA - 300 UI/2ML	KAMADA LTD	RF5290924	11/03/2027	1	1		1			0	
SORO ANTITETANICO - 1 AMPOLA	INSTITUTO BUTANTAN	230017	31/01/2026	1	1		1			0	
											
											
