Vacina/Soro/Imunoglobulina,Tipo/Composição,Fabricante(s),Apresentação (Doses por Frasco),Volume por Dose,Grupos-Alvo Principais,Esquema de Dosagem
dT (Dupla adulto),"Adsorvida (difteria, tétano)",Serum Institute / Biopharma,Unidose ou multidose,"0,5 mL",Adultos ≥7a,3 doses + reforços 10 anos
VOP (Pólio oral),Viva atenuada,Não especificado,Multidose,"0,1 mL (2 gotas)",Crianças (reforço),Reforços aos 15 meses e 4 anos
VPC23 (Pneumocócica 23-valente),Polissacarídea,Não especificado,Unidose,"0,5 mL","Grupos risco ≥2a (HIV, oncológicos, transplantados, asplenia)",Dose única; combinada com VPC13/VPC10 (6-8 semanas após) + reforço 5 anos
Antirrábica humana,Inativada,Não especificado,Unidose ou multidose,"0,5-1,0 mL",Exposição à raiva,3-5 doses por protocolo
Varicela monovalente,Viva atenuada,Não especificado,Unidose,"0,5 mL","Grupos risco, imunocompetentes suscetíveis em convívio com imunodeprimidos",1-2 doses (3 meses intervalo); pós-exposição até 120 horas
VPC13 (Pneumocócica 13-valente),Conjugada (13 sorotipos),Não especificado,Unidose,"0,5 mL","HIV, oncológicos, transplantados, asplenia, imunodeficiências, fibrose cística","2-3 doses (0, 2, 4 meses) + reforço; adultos: 1 dose + VPP23 após 8 semanas"
Hib (Haemophilus influenzae b),Conjugada,Não especificado,Unidose,"0,5 mL","Imunodeprimidos, transplantados, oncológicos, asplenia",2-3 doses (4-8 semanas intervalo) + reforço
DT (Dupla infantil),"Adsorvida (difteria, tétano)",Não especificado,Unidose,"0,5 mL",Crianças com eventos adversos à pertussis,"3 doses (2, 4, 6 meses) + reforços"
Dengue (Qdenga),Viva atenuada tetravalente,Takeda,Unidose,"0,5 mL",Crianças/adolescentes em áreas endêmicas,2 doses (intervalo 3 meses)
Herpes Zoster,Recombinante adjuvante,GSK,Unidose,"0,5 mL","Idosos ≥50a, imunocomprometidos",2 doses (2-6 meses intervalo)
Influenza Quadrivalente,Inativada,Não especificado,Multidose ou unidose,"0,5 mL",Grupos risco (variante da trivalente),Dose anual; 2 doses <9a
"HPV9 (HPV 6,11,16,18,31,33,45,52,58)",Recombinante,MSD,Unidose,"0,5 mL","Adolescentes, grupos especiais","2-3 doses (0, 1-2, 6 meses)"
"Rabies (inativada, especial)",Inativada,Bio-Manguinhos,Multidose,"0,5 mL","Profissionais risco, imunodeprimidos",Pré-exposição: 3 doses; pós: 4-5 doses
Hep A adulta,Inativada,GSK,Unidose,"1,0 mL","Adultos com hepatopatias, HIV",2 doses (6 meses intervalo)
Antibotrópico,Heterólogo equino (anticorpos contra Bothrops),Instituto Butantan,Frasco-ampola 5-10 mL (1 dose UI-based),5-10 mL (baseado em gravidade),Picadas de jararaca,"Dose única IV, ajustada por gravidade (leve: 4 amp, moderada: 8, grave: 12)"
Antibotrópico-laquético,Heterólogo equino (Bothrops + Lachesis),Instituto Butantan,Frasco-ampola 10 mL,10 mL,Picadas de jararaca/surucucu,"Dose única IV, 4-12 amp"
Anticrotálico,Heterólogo equino (Crotalus),Instituto Butantan,Frasco-ampola 10 mL,10 mL,Picadas de cascavel,"Dose única IV, 5-10 amp"
Antibotrópico-crotálico,Heterólogo equino (Bothrops + Crotalus),Instituto Butantan,Frasco-ampola 10 mL,10 mL,Picadas mistas,"Dose única IV, 4-12 amp"
Antilaquético,Heterólogo equino (Lachesis),Instituto Butantan,Frasco-ampola 10 mL,10 mL,Picadas de surucucu,"Dose única IV, 5 amp"
Antielapídico,Heterólogo equino (Micrurus),Instituto Butantan,Frasco-ampola 10 mL,10 mL,Picadas de coral,"Dose única IV, 10 amp"
Antiaracnídico,"Heterólogo equino (Loxosceles, Phoneutria)",Instituto Butantan,Frasco-ampola 5 mL,5 mL,Picadas de aranha-marrom/armadeira,"Dose única IV, 5 amp (grave: 10)"
Antiescorpiônico,Heterólogo equino (Tityus),Instituto Butantan,Frasco-ampola 5 mL,5 mL,Picadas de escorpião-amarelo,"Dose única IV, 1-5 amp"
Anti-botulínico,Heterólogo equino (contra toxina botulínica),Instituto Butantan,Frasco-ampola 20 mL,20 mL,Botulismo,"Dose única IV, ajustada"
Anti-diftérico,Heterólogo equino (contra toxina diftérica),Instituto Butantan,Frasco-ampola 10 mL,10 mL (10.000 UI),Difteria,"Dose única IV, 20.000-100.000 UI"
Anti-tetânico,Heterólogo equino (contra toxina tetânica),Instituto Butantan,Frasco-ampola 5 mL,5 mL (5.000 UI),Tétano pós-exposição,"Dose única IM/IV, 3.000-5.000 UI"
Anti-rábico,Heterólogo equino (contra vírus raiva),Instituto Butantan,Frasco-ampola 5 mL,5 mL (1.000 UI),Raiva pós-exposição,"Dose única IM, 40 UI/kg"
Anti-hepatite B heterólogo,Heterólogo equino (contra VHB),Instituto Butantan,Frasco-ampola 5 mL,5 mL,Exposição VHB em alérgicos a humana,Dose única IM + vacina
IGHAT (Antitetânica Humana),IgG humana contra toxina tetânica,Não especificado,Frasco 1-2 mL (250 UI),1-2 mL (250 UI),"Hipersensíveis a heterólogo, imunocomprometidos, recém-nascidos risco",Dose única IM 250 UI
IGHAHB (Anti-Hepatite B Humana),IgG humana contra VHB,Não especificado,"Frasco 0,5 mL","0,5 mL (0,06 mL/kg)","Perinatal VHB, expostos sem resposta vacinal, gestantes, vítimas violência",Dose única IM; dupla em alto risco (intervalo 1 mês)
IGHAR (Antirrábica Humana),IgG humana contra vírus raiva,Não especificado,Frasco variável (20 UI/kg),Variável (20 UI/kg),"Hipersensíveis a heterólogo, imunocomprometidos pós-exposição",Dose única IM <96h
IGHAVZ (Antivaricela-Zoster Humana),IgG humana contra VVZ,Não especificado,"Frasco 1,25-2,5 mL (125 UI)","Variável (125 UI/10 kg, max 625 UI)","Suscetíveis expostos, imunocomprometidos, grávidas, recém-nascidos",Dose única IM <96h
